2416 2514 0.961 | 2114 2688 0.786
213134 215482 0.989 | 177130 180688 0.980
213826 216262 0.989 | 177892 181344 0.981
214788 217042 0.990 | 178594 182000 0.981
215200 217432 0.990 | 179346 182328 0.984
216012 218212 0.990 | 179958 182984 0.983
216376 219382 0.986 | 180654 183968 0.982
217796 220552 0.988 | 181610 184952 0.982
218266 220942 0.988 | 182292 185280 0.984
218454 221332 0.987 | 182528 185608 0.983
219000 222502 0.984 | 183202 186592 0.982
219736 222892 0.986 | 183604 186920 0.982
220562 223282 0.988 | 183728 187248 0.981
221328 223672 0.990 | 184160 187576 0.982
222120 224062 0.991 | 184740 187904 0.983
223356 225622 0.990 | 185358 189216 0.980
223968 226402 0.989 | 185602 189872 0.978
224950 227182 0.990 | 186396 190528 0.978
225574 227962 0.990 | 187040 191184 0.978
225838 228352 0.989 | 187678 191512 0.980
226584 229132 0.989 | 188060 192168 0.979
227684 229912 0.990 | 188728 192824 0.979
227518 230692 0.986 | 189120 193480 0.977
227318 230692 0.985 | 189282 193480 0.978
227926 230692 0.988 | 189126 193480 0.977
227968 231082 0.987 | 189376 193808 0.977
228382 231082 0.988 | 189274 193808 0.977
229504 231862 0.990 | 190434 194464 0.979
230066 232252 0.991 | 190892 194792 0.980
231032 233812 0.988 | 191380 196104 0.976
232056 234592 0.989 | 192414 196760 0.978
232308 234592 0.990 | 192242 196760 0.977
232904 235372 0.990 | 192428 197416 0.975
233980 236152 0.991 | 193536 198072 0.977
234924 236932 0.992 | 194320 198728 0.978
235620 237712 0.991 | 194640 199384 0.976
235730 238592 0.988 | 194302 200104 0.971
236848 238982 0.991 | 195348 200432 0.975
237526 240252 0.989 | 195536 201480 0.970
238024 240742 0.989 | 196096 201872 0.971
238100 240742 0.989 | 196578 201872 0.974
238372 241132 0.989 | 196754 202200 0.973
240050 242692 0.989 | 198122 203512 0.974
240382 243082 0.989 | 198674 203840 0.975
240966 243472 0.990 | 199618 204168 0.978
241684 243862 0.991 | 200372 204496 0.980
243020 245422 0.990 | 201572 205808 0.979
243674 246592 0.988 | 201908 206792 0.976
242730 246592 0.984 | 201458 206792 0.974
243194 246592 0.986 | 201906 206792 0.976
244020 246592 0.990 | 202410 206792 0.979
245406 247762 0.990 | 203664 207776 0.980
245994 248542 0.990 | 203804 208432 0.978
246542 249322 0.989 | 204238 209088 0.977
246110 249322 0.987 | 203994 209088 0.976
247224 249712 0.990 | 204912 209416 0.978
248318 250492 0.991 | 205694 210072 0.979
248696 250882 0.991 | 205882 210400 0.979
249880 252052 0.991 | 206340 211384 0.976
250628 252832 0.991 | 206518 212040 0.974
250744 252832 0.992 | 206730 212040 0.975
250578 253222 0.990 | 206840 212368 0.974
250428 253222 0.989 | 207016 212368 0.975
251268 254002 0.989 | 207542 213024 0.974
251936 255172 0.987 | 208086 214008 0.972
253270 255952 0.990 | 209204 214664 0.975
254540 256732 0.991 | 210096 215320 0.976
254898 257902 0.988 | 210224 216304 0.972
255732 258292 0.990 | 210982 216632 0.974
255688 258292 0.990 | 211122 216632 0.975
256378 258292 0.993 | 211580 216632 0.977
257384 259462 0.992 | 212240 217616 0.975
257210 259462 0.991 | 211978 217616 0.974
257286 259852 0.990 | 212706 217944 0.976
257542 260242 0.990 | 212910 218272 0.975
258504 261022 0.990 | 213924 218928 0.977
259182 262192 0.989 | 214534 219912 0.976
259146 262192 0.988 | 214802 219912 0.977
259556 262192 0.990 | 215012 219912 0.978
260414 262972 0.990 | 215662 220568 0.978
260630 263362 0.990 | 216046 220896 0.978
261042 263752 0.990 | 216326 221224 0.978
261310 264142 0.989 | 216334 221552 0.976
262364 264922 0.990 | 217380 222208 0.978
262968 265702 0.990 | 217958 222864 0.978
264306 266872 0.990 | 219068 223848 0.979
264670 267652 0.989 | 218936 224504 0.975
265232 267652 0.991 | 219244 224504 0.977
265902 268822 0.989 | 219488 225488 0.973
266604 269212 0.990 | 219550 225816 0.972
267312 269992 0.990 | 220064 226472 0.972
268206 270772 0.991 | 220788 227128 0.972
268254 271552 0.988 | 220922 227784 0.970
269704 272332 0.990 | 221768 228440 0.971
270716 273112 0.991 | 222498 229096 0.971
271148 274382 0.988 | 222438 230144 0.967
271684 274382 0.990 | 223336 230144 0.970
272816 275162 0.991 | 223926 230800 0.970
272810 275652 0.990 | 223624 231192 0.967
273900 276532 0.990 | 224782 231912 0.969
273900 277312 0.988 | 224882 232568 0.967
274444 277312 0.990 | 225386 232568 0.969
274406 277702 0.988 | 225388 232896 0.968
274384 277702 0.988 | 225354 232896 0.968
275168 278092 0.989 | 226064 233224 0.969
275502 278092 0.991 | 226438 233224 0.971
275732 278482 0.990 | 226886 233552 0.971
276118 278872 0.990 | 227266 233880 0.972
276488 279262 0.990 | 227794 234208 0.973
276750 279652 0.990 | 228098 234536 0.973
276976 279652 0.990 | 228696 234536 0.975
277790 280432 0.991 | 229356 235192 0.975
278836 281602 0.990 | 229710 236176 0.973
279462 281992 0.991 | 230322 236504 0.974
280012 282772 0.990 | 230904 237160 0.974
280960 283552 0.991 | 231830 237816 0.975
281038 283942 0.990 | 232388 238144 0.976
282064 284332 0.992 | 233340 238472 0.978
282310 285502 0.989 | 233690 239456 0.976
282820 285502 0.991 | 234460 239456 0.979
283200 285892 0.991 | 235286 239784 0.981
283450 285892 0.991 | 235604 239784 0.983
283610 285892 0.992 | 236190 239784 0.985
284506 286672 0.992 | 236846 240440 0.985
285604 287842 0.992 | 237652 241424 0.984
287000 289402 0.992 | 238438 242736 0.982
287232 289792 0.991 | 238446 243064 0.981
288170 290572 0.992 | 239238 243720 0.982
288472 290962 0.991 | 239060 244048 0.980
288344 291352 0.990 | 239662 244376 0.981
288170 291352 0.989 | 239812 244376 0.981
288482 291352 0.990 | 239762 244376 0.981
288934 291742 0.990 | 240114 244704 0.981
290304 292522 0.992 | 241422 245360 0.984
290874 293692 0.990 | 242158 246344 0.983
291034 293692 0.991 | 241942 246344 0.982
291766 294082 0.992 | 242938 246672 0.985
292054 295252 0.989 | 243608 247656 0.984
292412 295252 0.990 | 243852 247656 0.985
293764 296032 0.992 | 244544 248312 0.985
294592 296812 0.993 | 245340 248968 0.985
295388 297982 0.991 | 246228 249952 0.985
295496 298372 0.990 | 246440 250280 0.985
296082 298762 0.991 | 246940 250608 0.985
296950 299152 0.993 | 247410 250936 0.986
298068 300712 0.991 | 247868 252248 0.983
298346 301492 0.990 | 248364 252904 0.982
299196 301882 0.991 | 248906 253232 0.983
299638 302662 0.990 | 249250 253888 0.982
299990 302662 0.991 | 249390 253888 0.982
300646 303052 0.992 | 249534 254216 0.982
300936 303442 0.992 | 249852 254544 0.982
301050 303832 0.991 | 250182 254872 0.982
302096 304222 0.993 | 250762 255200 0.983
302406 305002 0.991 | 251014 255856 0.981
303170 305782 0.991 | 251742 256512 0.981
304224 306562 0.992 | 252568 257168 0.982
304626 307342 0.991 | 253162 257824 0.982
304940 307732 0.991 | 253140 258152 0.981
306108 308902 0.991 | 253682 259136 0.979
306754 309682 0.991 | 254138 259792 0.978
307830 310852 0.990 | 255012 260776 0.978
307722 311242 0.989 | 255042 261104 0.977
307780 311242 0.989 | 254922 261104 0.976
308994 312022 0.990 | 255620 261760 0.977
309762 312802 0.990 | 256104 262416 0.976
309132 312802 0.988 | 256094 262416 0.976
308784 312802 0.987 | 255444 262416 0.973
309656 312802 0.990 | 256232 262416 0.976
309984 312802 0.991 | 257170 262416 0.980
310144 312802 0.992 | 257160 262416 0.980
310246 313192 0.991 | 257318 262744 0.979
310584 313192 0.992 | 257636 262744 0.981
310954 313582 0.992 | 258056 263072 0.981
311816 314752 0.991 | 258304 264056 0.978
312400 315142 0.991 | 258842 264384 0.979
313098 315922 0.991 | 258934 265040 0.977
313592 316702 0.990 | 259626 265696 0.977
314772 317872 0.990 | 260776 266680 0.978
315530 318262 0.991 | 261242 267008 0.978
315190 318652 0.989 | 261440 267336 0.978
315062 318652 0.989 | 261304 267336 0.977
315424 318652 0.990 | 261590 267336 0.979
315850 318652 0.991 | 261922 267336 0.980
316260 319042 0.991 | 262636 267664 0.981
316850 319432 0.992 | 263110 267992 0.982
317338 320212 0.991 | 263474 268648 0.981
317690 320602 0.991 | 263792 268976 0.981
318332 320992 0.992 | 264758 269304 0.983
318766 321382 0.992 | 265474 269632 0.985
319112 322162 0.991 | 266030 270288 0.984
319480 322162 0.992 | 266356 270288 0.985
319262 322552 0.990 | 265966 270616 0.983
319676 322552 0.991 | 266142 270616 0.983
320044 322942 0.991 | 266398 270944 0.983
320314 323332 0.991 | 266556 271272 0.983
320876 323332 0.992 | 267450 271272 0.986
322146 324502 0.993 | 268516 272256 0.986
323046 325672 0.992 | 269284 273240 0.986
324144 326842 0.992 | 270328 274224 0.986
325630 328012 0.993 | 270916 275208 0.984
326870 329962 0.991 | 271496 276848 0.981
327216 329962 0.992 | 272082 276848 0.983
327164 330352 0.990 | 272640 277176 0.984
328036 331132 0.991 | 273374 277832 0.984
328828 331912 0.991 | 273696 278488 0.983
329200 332302 0.991 | 273968 278816 0.983
329356 333082 0.989 | 274230 279472 0.981
329530 333082 0.989 | 274238 279472 0.981
329828 333082 0.990 | 274450 279472 0.982
329958 333082 0.991 | 274752 279472 0.983
331088 333862 0.992 | 275804 280128 0.985
330930 334252 0.990 | 275574 280456 0.983
331914 334642 0.992 | 276246 280784 0.984
332232 335032 0.992 | 276480 281112 0.984
332466 335422 0.991 | 276832 281440 0.984
332802 335812 0.991 | 277156 281768 0.984
334504 336982 0.993 | 278286 282752 0.984
334908 337762 0.992 | 278420 283408 0.982
334946 338152 0.991 | 277866 283736 0.979
335718 338542 0.992 | 278042 284064 0.979
335892 338542 0.992 | 278608 284064 0.981
336120 338932 0.992 | 279070 284392 0.981
336546 339322 0.992 | 279298 284720 0.981
336186 339322 0.991 | 278926 284720 0.980
336998 340102 0.991 | 279932 285376 0.981
337700 340882 0.991 | 280548 286032 0.981
338074 341272 0.991 | 280996 286360 0.981
338128 341272 0.991 | 280810 286360 0.981
339242 342442 0.991 | 281640 287344 0.980
339820 342832 0.991 | 281754 287672 0.979
341084 343612 0.993 | 282812 288328 0.981
341908 344782 0.992 | 283094 289312 0.979
342984 345952 0.991 | 283864 290296 0.978
343324 346342 0.991 | 284158 290624 0.978
343812 346732 0.992 | 284276 290952 0.977
344772 347512 0.992 | 284828 291608 0.977
345864 349462 0.990 | 285660 293248 0.974
346574 349852 0.991 | 286198 293576 0.975
347946 351022 0.991 | 287254 294560 0.975
348272 351412 0.991 | 287800 294888 0.976
348370 351802 0.990 | 288170 295216 0.976
349016 352192 0.991 | 288930 295544 0.978
349740 352582 0.992 | 289286 295872 0.978
350280 353752 0.990 | 289830 296856 0.976
351216 354532 0.991 | 290110 297512 0.975
351736 355312 0.990 | 290658 298168 0.975
352814 355702 0.992 | 291588 298496 0.977
353004 356872 0.989 | 291508 299480 0.973
353260 356872 0.990 | 292114 299480 0.975
353824 357262 0.990 | 292970 299808 0.977
354120 357652 0.990 | 293574 300136 0.978
354576 357652 0.991 | 293618 300136 0.978
354850 357652 0.992 | 293934 300136 0.979
354918 358432 0.990 | 294668 300792 0.980
354058 358432 0.988 | 294070 300792 0.978
354858 358432 0.990 | 294202 300792 0.978
355412 358432 0.992 | 295152 300792 0.981
356144 358822 0.993 | 295274 301120 0.981
357236 359998 0.992 | 296588 302152 0.982
358328 361168 0.992 | 297676 303136 0.982
358608 361558 0.992 | 297814 303464 0.981
359914 362338 0.993 | 298798 304120 0.983
359844 362728 0.992 | 299456 304448 0.984
359886 362728 0.992 | 299440 304448 0.984
360832 363898 0.992 | 300144 305432 0.983
360668 363898 0.991 | 299704 305432 0.981
360622 364288 0.990 | 299064 305760 0.978
361560 364678 0.991 | 299926 306088 0.980
362418 365458 0.992 | 300674 306744 0.980
362944 365848 0.992 | 300906 307072 0.980
362546 365848 0.991 | 300752 307072 0.979
363614 366628 0.992 | 301216 307728 0.979
364244 367804 0.990 | 301956 308760 0.978
364720 367804 0.992 | 301890 308760 0.978
365932 368974 0.992 | 302458 309744 0.976
366480 369754 0.991 | 303060 310400 0.976
366778 370144 0.991 | 303534 310728 0.977
366956 370144 0.991 | 303432 310728 0.977
367254 370534 0.991 | 303602 311056 0.976
367646 370924 0.991 | 304066 311384 0.976
367302 371314 0.989 | 304034 311712 0.975
368186 371314 0.992 | 304884 311712 0.978
368446 371704 0.991 | 305302 312040 0.978
368408 371704 0.991 | 305040 312040 0.978
369614 372484 0.992 | 305984 312696 0.979
370320 373264 0.992 | 306160 313352 0.977
370288 373264 0.992 | 306434 313352 0.978
370620 373654 0.992 | 306896 313680 0.978
371948 374824 0.992 | 308252 314664 0.980
372850 375610 0.993 | 308694 315368 0.979
372840 376000 0.992 | 308836 315696 0.978
374174 376780 0.993 | 309670 316352 0.979
374742 377566 0.993 | 310260 317056 0.979
375342 378346 0.992 | 311008 317712 0.979
376166 379126 0.992 | 311642 318368 0.979
376320 379906 0.991 | 311360 319024 0.976
377206 380686 0.991 | 312158 319680 0.976
377804 381076 0.991 | 312524 320008 0.977
378330 381466 0.992 | 312712 320336 0.976
378664 382636 0.990 | 313060 321320 0.974
378852 382636 0.990 | 313448 321320 0.976
378520 382636 0.989 | 312706 321320 0.973
378938 382636 0.990 | 313064 321320 0.974
380220 383416 0.992 | 314016 321976 0.975
380998 384196 0.992 | 314430 322632 0.975
381266 384196 0.992 | 314838 322632 0.976
381770 384976 0.992 | 315666 323288 0.976
382206 386146 0.990 | 315994 324272 0.974
382568 386146 0.991 | 316550 324272 0.976
382672 386146 0.991 | 316932 324272 0.977
383462 386536 0.992 | 317230 324600 0.977
383062 386926 0.990 | 317058 324928 0.976
384082 386926 0.993 | 318014 324928 0.979
384748 387706 0.992 | 318658 325584 0.979
385228 388882 0.991 | 319386 326616 0.978
385292 388882 0.991 | 319196 326616 0.977
385130 388882 0.990 | 319326 326616 0.978
384970 388882 0.990 | 319292 326616 0.978
386296 389272 0.992 | 320432 326944 0.980
387200 390442 0.992 | 320912 327928 0.979
388196 391172 0.992 | 321544 328582 0.979
388880 391952 0.992 | 322584 329238 0.980
389458 392342 0.993 | 323370 329566 0.981
389394 392732 0.992 | 323268 329894 0.980
389690 393122 0.991 | 323454 330222 0.980
390782 393512 0.993 | 324236 330550 0.981
391002 394292 0.992 | 324528 331206 0.980
391090 394292 0.992 | 324642 331206 0.980
391230 394292 0.992 | 324494 331206 0.980
391856 394682 0.993 | 325150 331534 0.981
392350 395072 0.993 | 325578 331862 0.981
393262 396242 0.992 | 327006 332846 0.982
393338 396632 0.992 | 327232 333174 0.982
392830 396632 0.990 | 327392 333174 0.983
393264 396632 0.992 | 327590 333174 0.983
393636 397022 0.991 | 328108 333502 0.984
394036 397022 0.992 | 328362 333502 0.985
394374 397808 0.991 | 328306 334206 0.982
394434 397808 0.992 | 328598 334206 0.983
394754 397808 0.992 | 329054 334206 0.985
395132 398198 0.992 | 329520 334534 0.985
395118 398198 0.992 | 329458 334534 0.985
395414 398978 0.991 | 329926 335190 0.984
395218 398978 0.991 | 329862 335190 0.984
394860 398978 0.990 | 329614 335190 0.983
395540 398978 0.991 | 330000 335190 0.985
396632 399764 0.992 | 330568 335894 0.984
397400 400154 0.993 | 331164 336222 0.985
398042 400544 0.994 | 331758 336550 0.986
399188 401714 0.994 | 332864 337534 0.986
399996 402840 0.993 | 333736 338564 0.986
400360 403230 0.993 | 333740 338892 0.985
401520 404400 0.993 | 334156 339876 0.983
402180 405180 0.993 | 334820 340532 0.983
402768 406300 0.991 | 335408 341514 0.982
402770 406690 0.990 | 335200 341842 0.981
404310 407470 0.992 | 336182 342498 0.982
404254 407860 0.991 | 336864 342826 0.983
404716 407860 0.992 | 337054 342826 0.983
405418 409030 0.991 | 337492 343810 0.982
405714 409420 0.991 | 337970 344138 0.982
405644 409810 0.990 | 337628 344466 0.980
406226 409810 0.991 | 338188 344466 0.982
405938 409810 0.991 | 337856 344466 0.981
406996 409810 0.993 | 338462 344466 0.983
407628 410200 0.994 | 339070 344794 0.983
407588 411370 0.991 | 339006 345778 0.980
407724 411370 0.991 | 339268 345778 0.981
407904 411370 0.992 | 339882 345778 0.983
408494 411760 0.992 | 340290 346106 0.983
409010 412150 0.992 | 340538 346434 0.983
408452 412150 0.991 | 340448 346434 0.983
409426 412150 0.993 | 341354 346434 0.985
409912 412886 0.993 | 341896 347136 0.985
409826 413276 0.992 | 341916 347464 0.984
409896 413276 0.992 | 341888 347464 0.984
410268 413666 0.992 | 341740 347792 0.983
411012 414056 0.993 | 342412 348120 0.984
411524 414446 0.993 | 342356 348448 0.983
412138 415616 0.992 | 342824 349432 0.981
412522 416396 0.991 | 343126 350088 0.980
412290 416396 0.990 | 343342 350088 0.981
412276 416396 0.990 | 343346 350088 0.981
412976 416396 0.992 | 343586 350088 0.981
413760 417176 0.992 | 344172 350744 0.981
414200 417566 0.992 | 344426 351072 0.981
414074 417566 0.992 | 344478 351072 0.981
414294 417566 0.992 | 344452 351072 0.981
414720 418346 0.991 | 344714 351728 0.980
415600 419076 0.992 | 345262 352382 0.980
416600 419812 0.992 | 346312 353084 0.981
416714 420202 0.992 | 346090 353412 0.979
417640 420982 0.992 | 346622 354068 0.979
418304 422158 0.991 | 347146 355100 0.978
418514 422554 0.990 | 347570 355476 0.978
419336 422894 0.992 | 348066 355802 0.978
419860 423284 0.992 | 347976 356130 0.977
420090 423680 0.992 | 348540 356506 0.978
420416 424466 0.990 | 348680 357210 0.976
421338 424856 0.992 | 349268 357538 0.977
421468 425246 0.991 | 348866 357866 0.975
422110 426026 0.991 | 348738 358522 0.973
422334 426812 0.990 | 348956 359226 0.971
422846 427208 0.990 | 349458 359602 0.972
422412 427208 0.989 | 348864 359602 0.970
422880 427208 0.990 | 349322 359602 0.971
423340 427208 0.991 | 349860 359602 0.973
424022 427604 0.992 | 350398 359978 0.973
424484 428396 0.991 | 350812 360730 0.973
424774 428736 0.991 | 351356 361056 0.973
424954 429132 0.990 | 351702 361432 0.973
425718 429812 0.990 | 352300 362084 0.973
425964 429812 0.991 | 352496 362084 0.974
426842 430604 0.991 | 353184 362836 0.973
427302 431000 0.991 | 353580 363212 0.973
427972 431000 0.993 | 354192 363212 0.975
