966 1196 0.808 | 1098 1234 0.890
68368 70816 0.965 | 71774 75130 0.955
68516 71174 0.963 | 71560 75468 0.948
68858 71174 0.967 | 71738 75468 0.951
69290 71488 0.969 | 72412 75852 0.955
69784 71488 0.976 | 72766 75852 0.959
70046 71802 0.976 | 72822 76236 0.955
70524 72160 0.977 | 73392 76574 0.958
71146 72518 0.981 | 73762 76912 0.959
71624 73234 0.978 | 74158 77588 0.956
71982 73592 0.978 | 74804 77926 0.960
72406 73950 0.979 | 75814 78264 0.969
73012 74640 0.978 | 76528 78950 0.969
73626 75312 0.978 | 76920 79672 0.965
73812 75626 0.976 | 77190 80056 0.964
74190 76298 0.972 | 78004 80778 0.966
74572 76656 0.973 | 78372 81116 0.966
74804 77014 0.971 | 78592 81454 0.965
74850 77014 0.972 | 78528 81454 0.964
74890 77014 0.972 | 78320 81454 0.962
75950 77494 0.980 | 79234 82012 0.966
76100 77974 0.976 | 79452 82570 0.962
77056 78602 0.980 | 79708 83338 0.956
77414 79274 0.977 | 80404 84060 0.957
77782 79632 0.977 | 80670 84398 0.956
78306 79990 0.979 | 81610 84736 0.963
78922 80706 0.978 | 82020 85412 0.960
79036 81422 0.971 | 82514 86088 0.958
79572 81422 0.977 | 83012 86088 0.964
79862 81780 0.977 | 83552 86426 0.967
80098 82138 0.975 | 83652 86764 0.964
81120 82810 0.980 | 84536 87486 0.966
81354 83482 0.975 | 84942 88208 0.963
259516 265840 0.976 | 279412 292050 0.957
258496 266154 0.971 | 278000 292434 0.951
255722 266154 0.961 | 274690 292434 0.939
253600 266154 0.953 | 272182 292434 0.931
251342 266154 0.944 | 269818 292434 0.923
249112 266154 0.936 | 267332 292434 0.914
247072 266154 0.928 | 264672 292434 0.905
244444 266154 0.918 | 260986 292434 0.892
239920 266154 0.901 | 256258 292434 0.876
228366 266154 0.858 | 244360 292434 0.836
214982 266154 0.808 | 227982 292434 0.780
208580 266154 0.784 | 220892 292434 0.755
207546 266154 0.780 | 220012 292434 0.752
207256 266154 0.779 | 219686 292434 0.751
205688 266154 0.773 | 218372 292434 0.747
205496 266154 0.772 | 217916 292434 0.745
205004 266154 0.770 | 217290 292434 0.743
204144 266154 0.767 | 216706 292434 0.741
204456 266154 0.768 | 217154 292434 0.743
204562 266154 0.769 | 217164 292434 0.743
204286 266154 0.768 | 217120 292434 0.742
203924 266154 0.766 | 216744 292434 0.741
203862 266154 0.766 | 216202 292434 0.739
203648 266154 0.765 | 216094 292434 0.739
204082 266154 0.767 | 216602 292434 0.741
204506 266154 0.768 | 217198 292434 0.743
204316 266154 0.768 | 217430 292434 0.744
204320 266154 0.768 | 217544 292434 0.744
203628 266154 0.765 | 216930 292434 0.742
203656 266154 0.765 | 217364 292434 0.743
203482 266154 0.765 | 217132 292434 0.742
203370 266154 0.764 | 217030 292434 0.742
202898 266154 0.762 | 217084 292434 0.742
414274 420450 0.985 | 451946 470396 0.961
412834 420450 0.982 | 449812 470396 0.956
409050 420450 0.973 | 445988 470396 0.948
405830 420450 0.965 | 441812 470396 0.939
402472 420450 0.957 | 438498 470396 0.932
396110 420450 0.942 | 432042 470396 0.918
380134 420450 0.904 | 415048 470396 0.882
356226 420450 0.847 | 387090 470396 0.823
337704 420450 0.803 | 366736 470396 0.780
320418 420450 0.762 | 347766 470396 0.739
301926 420450 0.718 | 328728 470396 0.699
292654 420450 0.696 | 318568 470396 0.677
291296 420450 0.693 | 316864 470396 0.674
290142 420450 0.690 | 315872 470396 0.672
288806 420450 0.687 | 314280 470396 0.668
288274 420450 0.686 | 312844 470396 0.665
287014 420450 0.683 | 311172 470396 0.662
286418 420450 0.681 | 310842 470396 0.661
285542 420450 0.679 | 309692 470396 0.658
285174 420450 0.678 | 309126 470396 0.657
285090 420450 0.678 | 308644 470396 0.656
284426 420450 0.676 | 308406 470396 0.656
283672 420450 0.675 | 308182 470396 0.655
284048 420450 0.676 | 308148 470396 0.655
284034 420450 0.676 | 307612 470396 0.654
283798 420450 0.675 | 307526 470396 0.654
283444 420450 0.674 | 307374 470396 0.653
283750 420450 0.675 | 307558 470396 0.654
284302 420450 0.676 | 308018 470396 0.655
283656 420450 0.675 | 307290 470396 0.653
283378 420450 0.674 | 306838 470396 0.652
283528 420450 0.674 | 307086 470396 0.653
283502 420450 0.674 | 307024 470396 0.653
283374 420450 0.674 | 306912 470396 0.652
283768 420450 0.675 | 307212 470396 0.653
283916 420450 0.675 | 307194 470396 0.653
284298 420450 0.676 | 307520 470396 0.654
284790 420450 0.677 | 307554 470396 0.654
280352 420450 0.667 | 302472 470396 0.643
265328 420450 0.631 | 285892 470396 0.608
243844 420450 0.580 | 260078 470396 0.553
519536 526306 0.987 | 560542 583136 0.961
513306 526664 0.975 | 553998 583474 0.949
506584 526664 0.962 | 547826 583474 0.939
499746 526664 0.949 | 539996 583474 0.925
491704 526664 0.934 | 530970 583474 0.910
481906 526664 0.915 | 521392 583474 0.894
470580 526664 0.894 | 509208 583474 0.873
459196 526664 0.872 | 496108 583474 0.850
446028 526664 0.847 | 481626 583474 0.825
425010 526664 0.807 | 457318 583474 0.784
400680 526664 0.761 | 431520 583474 0.740
387984 526664 0.737 | 419532 583474 0.719
384906 526664 0.731 | 416424 583474 0.714
383086 526664 0.727 | 414604 583474 0.711
381490 526664 0.724 | 412874 583474 0.708
380928 526664 0.723 | 411626 583474 0.705
379708 526664 0.721 | 410718 583474 0.704
378174 526664 0.718 | 409102 583474 0.701
377322 526664 0.716 | 408746 583474 0.701
376372 526664 0.715 | 407718 583474 0.699
376154 526664 0.714 | 407214 583474 0.698
375904 526664 0.714 | 407244 583474 0.698
375178 526664 0.712 | 406126 583474 0.696
374144 526664 0.710 | 405102 583474 0.694
373622 526664 0.709 | 404634 583474 0.693
373550 526664 0.709 | 404948 583474 0.694
373522 526664 0.709 | 404358 583474 0.693
372902 526664 0.708 | 404204 583474 0.693
372908 526664 0.708 | 403688 583474 0.692
372426 526664 0.707 | 402872 583474 0.690
372110 526664 0.707 | 402896 583474 0.691
372198 526664 0.707 | 402600 583474 0.690
372044 526664 0.706 | 402716 583474 0.690
372436 526664 0.707 | 403260 583474 0.691
372544 526664 0.707 | 403106 583474 0.691
370892 526664 0.704 | 401430 583474 0.688
368326 526664 0.699 | 398374 583474 0.683
363332 526664 0.690 | 393060 583474 0.674
351446 526664 0.667 | 380286 583474 0.652
322888 526664 0.613 | 348554 583474 0.597
277742 526664 0.527 | 299882 583474 0.514
253770 526664 0.482 | 274410 583474 0.470
245470 526664 0.466 | 265844 583474 0.456
243778 526664 0.463 | 264064 583474 0.453
243440 526664 0.462 | 263686 583474 0.452
243356 526664 0.462 | 264196 583474 0.453
243030 526664 0.461 | 264098 583474 0.453
456996 526664 0.868 | 504660 583474 0.865
453976 526664 0.862 | 501792 583474 0.860
450082 526664 0.855 | 496782 583474 0.851
446612 526664 0.848 | 492762 583474 0.845
444876 526664 0.845 | 490442 583474 0.841
442010 526664 0.839 | 486722 583474 0.834
439546 526664 0.835 | 484270 583474 0.830
435780 526664 0.827 | 479900 583474 0.822
427536 526664 0.812 | 471470 583474 0.808
416698 526664 0.791 | 459606 583474 0.788
398758 526664 0.757 | 439922 583474 0.754
388924 526664 0.738 | 429862 583474 0.737
387222 526664 0.735 | 428280 583474 0.734
386250 526664 0.733 | 427118 583474 0.732
385172 526664 0.731 | 425912 583474 0.730
384756 526664 0.731 | 425004 583474 0.728
384282 526664 0.730 | 424374 583474 0.727
383908 526664 0.729 | 423706 583474 0.726
383862 526664 0.729 | 422896 583474 0.725
382960 526664 0.727 | 422044 583474 0.723
383110 526664 0.727 | 422160 583474 0.724
382690 526664 0.727 | 421886 583474 0.723
382120 526664 0.726 | 420856 583474 0.721
381800 526664 0.725 | 420586 583474 0.721
381492 526664 0.724 | 420286 583474 0.720
381262 526664 0.724 | 420660 583474 0.721
381238 526664 0.724 | 420012 583474 0.720
380808 526664 0.723 | 419806 583474 0.719
379970 526664 0.721 | 418764 583474 0.718
378528 526664 0.719 | 416758 583474 0.714
374874 526664 0.712 | 412288 583474 0.707
516992 526664 0.982 | 566002 583474 0.970
506280 526664 0.961 | 554654 583474 0.951
490004 526664 0.930 | 537390 583474 0.921
478378 526664 0.908 | 524232 583474 0.898
467146 526664 0.887 | 512038 583474 0.878
461154 526664 0.876 | 506220 583474 0.868
456630 526664 0.867 | 501252 583474 0.859
448612 526664 0.852 | 492740 583474 0.844
429104 526664 0.815 | 468382 583474 0.803
393612 526664 0.747 | 428138 583474 0.734
366060 526664 0.695 | 398614 583474 0.683
355066 526664 0.674 | 387936 583474 0.665
353336 526664 0.671 | 386086 583474 0.662
352688 526664 0.670 | 385964 583474 0.661
352156 526664 0.669 | 384934 583474 0.660
351924 526664 0.668 | 384314 583474 0.659
351164 526664 0.667 | 382992 583474 0.656
350640 526664 0.666 | 383362 583474 0.657
350338 526664 0.665 | 382858 583474 0.656
350720 526664 0.666 | 383040 583474 0.656
350312 526664 0.665 | 382316 583474 0.655
350422 526664 0.665 | 382426 583474 0.655
350388 526664 0.665 | 382052 583474 0.655
350808 526664 0.666 | 382406 583474 0.655
351154 526664 0.667 | 382462 583474 0.655
350718 526664 0.666 | 382506 583474 0.656
350858 526664 0.666 | 382814 583474 0.656
350630 526664 0.666 | 382472 583474 0.656
351116 526664 0.667 | 383032 583474 0.656
350804 526664 0.666 | 382562 583474 0.656
350834 526664 0.666 | 382476 583474 0.656
350624 526664 0.666 | 382490 583474 0.656
350922 526664 0.666 | 382734 583474 0.656
351098 526664 0.667 | 382872 583474 0.656
351194 526664 0.667 | 382568 583474 0.656
351200 526664 0.667 | 382622 583474 0.656
351294 526664 0.667 | 382598 583474 0.656
350952 526664 0.666 | 382232 583474 0.655
349172 526664 0.663 | 379866 583474 0.651
338400 526664 0.643 | 366620 583474 0.628
321890 526664 0.611 | 348678 583474 0.598
311580 526664 0.592 | 338088 583474 0.579
308574 526664 0.586 | 334080 583474 0.573
308588 526664 0.586 | 333826 583474 0.572
307490 526664 0.584 | 332720 583474 0.570
306592 526664 0.582 | 331738 583474 0.569
304484 526664 0.578 | 329598 583474 0.565
299224 526664 0.568 | 324706 583474 0.557
292356 526664 0.555 | 317054 583474 0.543
284170 526664 0.540 | 306522 583474 0.525
277040 526664 0.526 | 299382 583474 0.513
271818 526664 0.516 | 293880 583474 0.504
269458 526664 0.512 | 291200 583474 0.499
268572 526664 0.510 | 290262 583474 0.497
268344 526664 0.510 | 289660 583474 0.496
267732 526664 0.508 | 289416 583474 0.496
267772 526664 0.508 | 289442 583474 0.496
268084 526664 0.509 | 289676 583474 0.496
267864 526664 0.509 | 289346 583474 0.496
267944 526664 0.509 | 289622 583474 0.496
268310 526664 0.509 | 290000 583474 0.497
268232 526664 0.509 | 289576 583474 0.496
267818 526664 0.509 | 289502 583474 0.496
268134 526664 0.509 | 289892 583474 0.497
268232 526664 0.509 | 289984 583474 0.497
268484 526664 0.510 | 290194 583474 0.497
268614 526664 0.510 | 290164 583474 0.497
269444 526664 0.512 | 290978 583474 0.499
269806 526664 0.512 | 291294 583474 0.499
270068 526664 0.513 | 291572 583474 0.500
270400 526664 0.513 | 291658 583474 0.500
269578 526664 0.512 | 291404 583474 0.499
270162 526664 0.513 | 291770 583474 0.500
270356 526664 0.513 | 291970 583474 0.500
270326 526664 0.513 | 291822 583474 0.500
269740 526664 0.512 | 292232 583474 0.501
268778 526664 0.510 | 291240 583474 0.499
267726 526664 0.508 | 290310 583474 0.498
263936 526664 0.501 | 286212 583474 0.491
258456 526664 0.491 | 280952 583474 0.482
251756 526664 0.478 | 274300 583474 0.470
248538 526664 0.472 | 269584 583474 0.462
244828 526664 0.465 | 265574 583474 0.455
243430 526664 0.462 | 264348 583474 0.453
242732 526664 0.461 | 263710 583474 0.452
242640 526664 0.461 | 263692 583474 0.452
242726 526664 0.461 | 263896 583474 0.452
243190 526664 0.462 | 264532 583474 0.453
243652 526664 0.463 | 265258 583474 0.455
244166 526664 0.464 | 265618 583474 0.455
244458 526664 0.464 | 265448 583474 0.455
244604 526664 0.464 | 265324 583474 0.455
244410 526664 0.464 | 265148 583474 0.454
244926 526664 0.465 | 265762 583474 0.455
244796 526664 0.465 | 265504 583474 0.455
244660 526664 0.465 | 265142 583474 0.454
244226 526664 0.464 | 264948 583474 0.454
244506 526664 0.464 | 265224 583474 0.455
244522 526664 0.464 | 265150 583474 0.454
245302 526664 0.466 | 265874 583474 0.456
245522 526664 0.466 | 266042 583474 0.456
245006 526664 0.465 | 265912 583474 0.456
244708 526664 0.465 | 265860 583474 0.456
245392 526664 0.466 | 266090 583474 0.456
245466 526664 0.466 | 265938 583474 0.456
245518 526664 0.466 | 266068 583474 0.456
245664 526664 0.466 | 266456 583474 0.457
246126 526664 0.467 | 266468 583474 0.457
246698 526664 0.468 | 266732 583474 0.457
247290 526664 0.470 | 267452 583474 0.458
247260 526664 0.469 | 267548 583474 0.459
247028 526664 0.469 | 267856 583474 0.459
247002 526664 0.469 | 267744 583474 0.459
247352 526664 0.470 | 268238 583474 0.460
247538 526664 0.470 | 268140 583474 0.460
247700 526664 0.470 | 268306 583474 0.460
247738 526664 0.470 | 268460 583474 0.460
248138 526664 0.471 | 268622 583474 0.460
248604 526664 0.472 | 268798 583474 0.461
248884 526664 0.473 | 269020 583474 0.461
249688 526664 0.474 | 269824 583474 0.462
249746 526664 0.474 | 269852 583474 0.462
249524 526664 0.474 | 269360 583474 0.462
249222 526664 0.473 | 268990 583474 0.461
249146 526664 0.473 | 268910 583474 0.461
249592 526664 0.474 | 268690 583474 0.461
249938 526664 0.475 | 268918 583474 0.461
250102 526664 0.475 | 268928 583474 0.461
249584 526664 0.474 | 268764 583474 0.461
249584 526664 0.474 | 268796 583474 0.461
249080 526664 0.473 | 268478 583474 0.460
249788 526664 0.474 | 268996 583474 0.461
250128 526664 0.475 | 269528 583474 0.462
249614 526664 0.474 | 269260 583474 0.461
250186 526664 0.475 | 269700 583474 0.462
249684 526664 0.474 | 269298 583474 0.462
250108 526664 0.475 | 269764 583474 0.462
250312 526664 0.475 | 269908 583474 0.463
250814 526664 0.476 | 270324 583474 0.463
251470 526664 0.477 | 270948 583474 0.464
251454 526664 0.477 | 271000 583474 0.464
251486 526664 0.478 | 271538 583474 0.465
252096 526664 0.479 | 271792 583474 0.466
252108 526664 0.479 | 271766 583474 0.466
252220 526664 0.479 | 272078 583474 0.466
252038 526664 0.479 | 271902 583474 0.466
252044 526664 0.479 | 271782 583474 0.466
251850 526664 0.478 | 271128 583474 0.465
251702 526664 0.478 | 271010 583474 0.464
252216 526664 0.479 | 271052 583474 0.465
252190 526664 0.479 | 271372 583474 0.465
252198 526664 0.479 | 271366 583474 0.465
252434 526664 0.479 | 271694 583474 0.466
252118 526664 0.479 | 271266 583474 0.465
252012 526664 0.479 | 271266 583474 0.465
252806 526664 0.480 | 272038 583474 0.466
252798 526664 0.480 | 272192 583474 0.467
252174 526664 0.479 | 271916 583474 0.466
251958 526664 0.478 | 271930 583474 0.466
252434 526664 0.479 | 272410 583474 0.467
252844 526664 0.480 | 272632 583474 0.467
252784 526664 0.480 | 272664 583474 0.467
252992 526664 0.480 | 272680 583474 0.467
253048 526664 0.480 | 272758 583474 0.467
252956 526664 0.480 | 272550 583474 0.467
252704 526664 0.480 | 272398 583474 0.467
253244 526664 0.481 | 273080 583474 0.468
253790 526664 0.482 | 273718 583474 0.469
253868 526664 0.482 | 274056 583474 0.470
253832 526664 0.482 | 273908 583474 0.469
254904 526664 0.484 | 274492 583474 0.470
254854 526664 0.484 | 275024 583474 0.471
254568 526664 0.483 | 275234 583474 0.472
254956 526664 0.484 | 275262 583474 0.472
256056 526664 0.486 | 276384 583474 0.474
255840 526664 0.486 | 276422 583474 0.474
255886 526664 0.486 | 276470 583474 0.474
255994 526664 0.486 | 276660 583474 0.474
256584 526664 0.487 | 276888 583474 0.475
256640 526664 0.487 | 276790 583474 0.474
257228 526664 0.488 | 277476 583474 0.476
256776 526664 0.488 | 276812 583474 0.474
256284 526664 0.487 | 276382 583474 0.474
255910 526664 0.486 | 276290 583474 0.474
256478 526664 0.487 | 276682 583474 0.474
257024 526664 0.488 | 276916 583474 0.475
256532 526664 0.487 | 276472 583474 0.474
257288 526664 0.489 | 276868 583474 0.475
257576 526664 0.489 | 277112 583474 0.475
257824 526664 0.490 | 277520 583474 0.476
257798 526664 0.489 | 277442 583474 0.476
257824 526664 0.490 | 277332 583474 0.475
257282 526664 0.489 | 276836 583474 0.474
257450 526664 0.489 | 277752 583474 0.476
257578 526664 0.489 | 277996 583474 0.476
257824 526664 0.490 | 278154 583474 0.477
258494 526664 0.491 | 278602 583474 0.477
259040 526664 0.492 | 279336 583474 0.479
258888 526664 0.492 | 279244 583474 0.479
259142 526664 0.492 | 279418 583474 0.479
259486 526664 0.493 | 279844 583474 0.480
260048 526664 0.494 | 279846 583474 0.480
260534 526664 0.495 | 280368 583474 0.481
260770 526664 0.495 | 280384 583474 0.481
260598 526664 0.495 | 280622 583474 0.481
260022 526664 0.494 | 280184 583474 0.480
259872 526664 0.493 | 279982 583474 0.480
259760 526664 0.493 | 279942 583474 0.480
259558 526664 0.493 | 279962 583474 0.480
260154 526664 0.494 | 280470 583474 0.481
259830 526664 0.493 | 280208 583474 0.480
259916 526664 0.494 | 280176 583474 0.480
259744 526664 0.493 | 279970 583474 0.480
259722 526664 0.493 | 280248 583474 0.480
259556 526664 0.493 | 280142 583474 0.480
259422 526664 0.493 | 280198 583474 0.480
259314 526664 0.492 | 279942 583474 0.480
259090 526664 0.492 | 279846 583474 0.480
259080 526664 0.492 | 279650 583474 0.479
259532 526664 0.493 | 279724 583474 0.479
259814 526664 0.493 | 279844 583474 0.480
259364 526664 0.492 | 279174 583474 0.478
259066 526664 0.492 | 278506 583474 0.477
259920 526664 0.494 | 279388 583474 0.479
259780 526664 0.493 | 279378 583474 0.479
259878 526664 0.493 | 279106 583474 0.478
259508 526664 0.493 | 278326 583474 0.477
259492 526664 0.493 | 278418 583474 0.477
259494 526664 0.493 | 278500 583474 0.477
259614 526664 0.493 | 278708 583474 0.478
259284 526664 0.492 | 278742 583474 0.478
258978 526664 0.492 | 278790 583474 0.478
259062 526664 0.492 | 278980 583474 0.478
259438 526664 0.493 | 279088 583474 0.478
259356 526664 0.492 | 278678 583474 0.478
259132 526664 0.492 | 278708 583474 0.478
258842 526664 0.491 | 278822 583474 0.478
259306 526664 0.492 | 279786 583474 0.480
259090 526664 0.492 | 279736 583474 0.479
259668 526664 0.493 | 280210 583474 0.480
259078 526664 0.492 | 279572 583474 0.479
259024 526664 0.492 | 279336 583474 0.479
259358 526664 0.492 | 279484 583474 0.479
258968 526664 0.492 | 279690 583474 0.479
258928 526664 0.492 | 279950 583474 0.480
259260 526664 0.492 | 280480 583474 0.481
259820 526664 0.493 | 280800 583474 0.481
260644 526664 0.495 | 281392 583474 0.482
260474 526664 0.495 | 281536 583474 0.483
260066 526664 0.494 | 281208 583474 0.482
260098 526664 0.494 | 281592 583474 0.483
260518 526664 0.495 | 281930 583474 0.483
260990 526664 0.496 | 282324 583474 0.484
261792 526664 0.497 | 283118 583474 0.485
262284 526664 0.498 | 283508 583474 0.486
262822 526664 0.499 | 283938 583474 0.487
263162 526664 0.500 | 284232 583474 0.487
263250 526664 0.500 | 284158 583474 0.487
263246 526664 0.500 | 284342 583474 0.487
262884 526664 0.499 | 284112 583474 0.487
262666 526664 0.499 | 283636 583474 0.486
263038 526664 0.499 | 283810 583474 0.486
262932 526664 0.499 | 284214 583474 0.487
262820 526664 0.499 | 283986 583474 0.487
262918 526664 0.499 | 284184 583474 0.487
263160 526664 0.500 | 284476 583474 0.488
263914 526664 0.501 | 285150 583474 0.489
264250 526664 0.502 | 285096 583474 0.489
264236 526664 0.502 | 284736 583474 0.488
264724 526664 0.503 | 285444 583474 0.489
264540 526664 0.502 | 285564 583474 0.489
264830 526664 0.503 | 285750 583474 0.490
265462 526664 0.504 | 286000 583474 0.490
265756 526664 0.505 | 286078 583474 0.490
265758 526664 0.505 | 286070 583474 0.490
265584 526664 0.504 | 285672 583474 0.490
265606 526664 0.504 | 285926 583474 0.490
266322 526664 0.506 | 285958 583474 0.490
266196 526664 0.505 | 285938 583474 0.490
266244 526664 0.506 | 285738 583474 0.490
266196 526664 0.505 | 285872 583474 0.490
266022 526664 0.505 | 285960 583474 0.490
266266 526664 0.506 | 285940 583474 0.490
266452 526664 0.506 | 286056 583474 0.490
266256 526664 0.506 | 286314 583474 0.491
266408 526664 0.506 | 286176 583474 0.490
266412 526664 0.506 | 286370 583474 0.491
265532 526664 0.504 | 285736 583474 0.490
265358 526664 0.504 | 285392 583474 0.489
265890 526664 0.505 | 286044 583474 0.490
266312 526664 0.506 | 286082 583474 0.490
266506 526664 0.506 | 286264 583474 0.491
266430 526664 0.506 | 286564 583474 0.491
266592 526664 0.506 | 287252 583474 0.492
266760 526664 0.507 | 287258 583474 0.492
266364 526664 0.506 | 286742 583474 0.491
266530 526664 0.506 | 286966 583474 0.492
267216 526664 0.507 | 287230 583474 0.492
266908 526664 0.507 | 286874 583474 0.492
266922 526664 0.507 | 287300 583474 0.492
267348 526664 0.508 | 286946 583474 0.492
268156 526664 0.509 | 287738 583474 0.493
268108 526664 0.509 | 287136 583474 0.492
267868 526664 0.509 | 287422 583474 0.493
268036 526664 0.509 | 287404 583474 0.493
267910 526664 0.509 | 287576 583474 0.493
267866 526664 0.509 | 288124 583474 0.494
267908 526664 0.509 | 288260 583474 0.494
268138 526664 0.509 | 288646 583474 0.495
268206 526664 0.509 | 289042 583474 0.495
268108 526664 0.509 | 289304 583474 0.496
268310 526664 0.509 | 289520 583474 0.496
268336 526664 0.510 | 289206 583474 0.496
268254 526664 0.509 | 288966 583474 0.495
268028 526664 0.509 | 289222 583474 0.496
267720 526664 0.508 | 288822 583474 0.495
268038 526664 0.509 | 289492 583474 0.496
267446 526664 0.508 | 289028 583474 0.495
267732 526664 0.508 | 289272 583474 0.496
267680 526664 0.508 | 289388 583474 0.496
267576 526664 0.508 | 289296 583474 0.496
267638 526664 0.508 | 289110 583474 0.495
267164 526664 0.507 | 288932 583474 0.495
267184 526664 0.507 | 289058 583474 0.495
266726 526664 0.506 | 288750 583474 0.495
267104 526664 0.507 | 288798 583474 0.495
267258 526664 0.507 | 289178 583474 0.496
267354 526664 0.508 | 288816 583474 0.495
267754 526664 0.508 | 288868 583474 0.495
267156 526664 0.507 | 288404 583474 0.494
267068 526664 0.507 | 288290 583474 0.494
266614 526664 0.506 | 288322 583474 0.494
266474 526664 0.506 | 288196 583474 0.494
266414 526664 0.506 | 287860 583474 0.493
266116 526664 0.505 | 287522 583474 0.493
266166 526664 0.505 | 287636 583474 0.493
267148 526664 0.507 | 288146 583474 0.494
267206 526664 0.507 | 287598 583474 0.493
267150 526664 0.507 | 287886 583474 0.493
267460 526664 0.508 | 288134 583474 0.494
267154 526664 0.507 | 287884 583474 0.493
267284 526664 0.508 | 288208 583474 0.494
267418 526664 0.508 | 288514 583474 0.494
267406 526664 0.508 | 288556 583474 0.495
267958 526664 0.509 | 288708 583474 0.495
267418 526664 0.508 | 288088 583474 0.494
267792 526664 0.508 | 288340 583474 0.494
267446 526664 0.508 | 288394 583474 0.494
267480 526664 0.508 | 288710 583474 0.495
267084 526664 0.507 | 288596 583474 0.495
